Experiment_id,time_h,time_min,volume_l,air_flow_l_min,sampling_rate_l_min,acid_rate_l_min,base_rate_l_min,initial_biomass_g_l,initial_glucose_mol_l,initial_pH,initial_volume_l,glucose_mol_l,biomass_g_l,O2_l_mol,pH,OUR_mol_min,CER_mol_min,CO2_offgas_fraction,RQ
AMBR1_14,12.1666666666667,730.000000000002,0.19445685927341402,0.0740335289913503,0.0,0.0,9.649251022802125e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.0475354847217595,5.333513367998221e-05,7.97131798058789,0.000688138853856655,9.361992299326834e-05,0.00393291293180296,0.136150030111982
AMBR1_14,12.25,735.0,0.194501413813036,0.0732455563753667,0.0,0.0,1.0000873149048058e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.1271193363204857,5.3067278737096574e-05,7.97287844052282,0.0007490969222098483,9.504253119567118e-05,0.00400434240376955,0.126949484888412
AMBR1_14,12.3333333333333,739.999999999998,0.19424786810376302,0.0724972195119102,0.0003000000000001228,0.0,9.90929151279009e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,0.041712275372454984,3.1150509096231795,5.31550365412898e-05,7.97178400010568,0.000797798395487035,9.74798329643825e-05,0.00409554106257632,0.121837290524244
AMBR1_14,12.4166666666667,745.000000000002,0.192796702485283,0.07192251108950841,0.0,0.0,1.007584651161172e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.170071289253657,5.3317987702078184e-05,7.97212461150622,0.0008284467491166667,9.925525448990651e-05,0.00411071071307138,0.114067381585771
AMBR1_14,12.5,750.0,0.192842681503613,0.071588886431676,0.0,0.0,1.0270892000478267e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.2373466943650815,5.299058039695864e-05,7.97235889460614,0.0008985168380115949,0.00010342945950259067,0.00434595865445595,0.115113044848444
AMBR1_14,12.5833333333333,754.999999999998,0.19288925202745902,0.070779035028936,0.0,0.0,1.038618501326417e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.270815500436995,5.27470610067313e-05,7.97234094318395,0.0009431376958228683,0.000106000285170211,0.004463211267878259,0.112405881625107
AMBR1_14,12.6666666666667,760.000000000002,0.192936706847956,0.0702531428673764,0.0,0.0,1.0560891563887391e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.336978817252645,5.299896675365672e-05,7.97276656263668,0.0009990840283146333,0.00010861116787126952,0.00458187706448941,0.108727944897766
AMBR1_14,12.75,765.0,0.19298463103212699,0.0694199880059488,0.0,0.0,1.0633264278750332e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.4328375225278194,5.2724274088387124e-05,7.97195332480945,0.0010655006854835766,0.00011089435421421266,0.00469338565177837,0.104099007642501
AMBR1_14,12.8333333333333,769.999999999998,0.193033489626994,0.0687178475257882,0.0,0.0,1.0844019211588481e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.459551500795432,5.300903078028253e-05,7.9728351224514,0.0011241136813987483,0.00011347403587806601,0.00481643503914037,0.100964203488191
AMBR1_14,12.9166666666667,775.000000000002,0.193082456795232,0.0680690072200024,0.0,0.0,1.0853512948617092e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.5163930533260466,5.288231068857216e-05,7.97251048213632,0.0011950315537095936,0.000115869738985079,0.00493565503880915,0.09699439347768
AMBR1_14,13.0,780.0,0.193132509255914,0.0673684156409754,0.0,0.0,1.1081774580236564e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.5773910233746844,5.277932632752734e-05,7.97318470268699,0.0012578613100927567,0.00011871740531323969,0.00507034130799045,0.0944279359037007
AMBR1_14,13.0833333333333,784.999999999998,0.193182688377257,0.06653182520119251,0.0,0.0,1.1067153576016509e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.649437445726733,5.28061420850475e-05,7.97289473705428,0.0013326584249748633,0.00012111404467635052,0.00518863936665857,0.0909073217757771
AMBR1_14,13.1666666666667,790.000000000002,0.19323341048130002,0.0657147298592437,0.0,0.0,1.1197056742410876e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.8238740731494154,5.2765759925753455e-05,7.97196471519635,0.001421021862992895,0.000124015599337152,0.0053338251874996,0.0872970002011223
AMBR1_14,13.25,795.0,0.193285126078909,0.0648991416600457,0.0,0.0,1.1391969065778662e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.8659389126891384,5.2787283663538535e-05,7.97255246915258,0.0014932064340393682,0.00012687666275721,0.005474680117020419,0.0849815438014441
AMBR1_14,13.3333333333333,799.999999999998,0.193337271465161,0.063907959484447,0.0,0.0,1.1471898598224672e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.8477038379521686,5.276590539582087e-05,7.97302370794478,0.0016005334570152734,0.00012910868065880518,0.00559977373961917,0.0806898920322968
AMBR1_14,13.4166666666667,805.000000000002,0.193391255867673,0.0628246346336711,0.0,0.0,1.1838284521786315e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.9490272817750878,5.264600714429222e-05,7.97261084827332,0.0017133052801283834,0.00012735013297395168,0.00555219021312098,0.0744234479958232
AMBR1_14,13.5,810.0,0.193442510414514,0.06412318826851189,0.0,0.0,1.1263070768104547e-05,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.954683410316371,5.6932022043202444e-05,7.97273721289167,0.00167589896630405,0.0001141944655164845,0.0049765592125030796,0.0682558681566072
AMBR1_14,13.5833333333333,814.999999999998,0.193486200301633,0.0672003529517617,0.0,0.0,9.730811912941992e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.9123672824017266,5.611187405657943e-05,7.97356767844606,0.00148288617527773,0.00011727096919630234,0.0050672734841192,0.0791285279882762
AMBR1_14,13.6666666666667,820.000000000002,0.193523501389047,0.0690500312843128,0.0,0.0,8.502030087825099e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.9324847576024076,5.5512956024617896e-05,7.97371098184765,0.0014150869756487518,0.00012352083768463217,0.00532237757176801,0.0873204621761878
AMBR1_14,13.75,825.0,0.193556414578432,0.07048782829532649,0.0,0.0,7.586471174907047e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.8783074767220453,5.4958001054513225e-05,7.97380321272402,0.0013768902463216,0.0001302225728264075,0.00559980554693388,0.0945843574174198
AMBR1_14,13.8333333333333,829.999999999998,0.193584832314659,0.0714871937013917,0.0,0.0,6.745057086800806e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.891276703366163,5.475391230279575e-05,7.97409123247291,0.0013626090329640968,0.00013581015927795467,0.00583632861926097,0.0996716822478212
AMBR1_14,13.9166666666667,835.000000000002,0.19361130097524198,0.0722785787962028,0.0,0.0,6.306587286540822e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.8445211092113842,5.44462416875645e-05,7.97427958083848,0.0013622424474977884,0.0001403213374152375,0.0060299567098177,0.103009883535011
AMBR1_14,14.0,840.0,0.193635658589885,0.0728565917067147,0.0,0.0,5.937976722448411e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.832932085700898,5.428011684839774e-05,7.97507861432401,0.001365610750393195,0.00014385324605239481,0.00617986056308749,0.105342174435467
AMBR1_14,14.0833333333333,844.999999999998,0.193657577820287,0.0734662456023775,0.0,0.0,5.412141822412225e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.826717611723926,5.430545834251496e-05,7.97474560457048,0.001372234432378175,0.00014757856072377952,0.00634275330025713,0.107549775080281
AMBR1_14,14.1666666666667,850.000000000002,0.193678119536815,0.0738069560400816,0.0,0.0,5.156288625371761e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.8139307538158778,5.407200047344564e-05,7.97499948783437,0.0013958989173757832,0.00015063579917761467,0.00647942233528426,0.107914024914261
AMBR1_14,14.25,855.0,0.193696982780122,0.0741757610493017,0.0,0.0,4.797109544493958e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.8848241079302235,5.430149695737728e-05,7.97541595478599,0.0013915777683289733,0.00015321068287459281,0.006596123421350511,0.110116632756048
AMBR1_14,14.3333333333333,859.999999999998,0.193386537833353,0.074562078788137,0.0003000000000001228,0.0,4.3822675943838435e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,0.031570015786318524,3.8971958331510788,5.3866555776360225e-05,7.97562868544892,0.00142436642234899,0.00015692367246131203,0.006714290346628889,0.11007006406687
AMBR1_14,14.4166666666667,865.000000000002,0.191934905611859,0.0748436599780499,0.0,0.0,4.083123384820674e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.977408476444915,5.391737589114785e-05,7.97571312673667,0.0014561555854549,0.00015913339835844033,0.00665326589977355,0.107776233868928
AMBR1_14,14.5,870.0,0.19194836225731898,0.0755393806688931,0.0,0.0,3.7353086016614876e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.976700890988606,5.380853887063557e-05,7.97543865099384,0.0014596077621719418,0.000163381608616735,0.00697895500529774,0.111943960542872
AMBR1_14,14.5833333333333,874.999999999998,0.191961224709281,0.0758371211974699,0.0,0.0,3.595585692057452e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.9574999106890316,5.3658670861092007e-05,7.97623447604633,0.001470112164625425,0.00016524291635868085,0.0070648152350201495,0.112402978699572
AMBR1_14,14.6666666666667,880.000000000002,0.191973263697677,0.0762347689487129,0.0,0.0,3.453511817965198e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.9665102026819175,5.359453847781481e-05,7.97619622708776,0.0014800161011033566,0.00016701498699626,0.00714105922208731,0.112849678007737
AMBR1_14,14.75,885.0,0.19198321764499,0.07646543320473459,0.0,0.0,3.0201203105112135e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.9097968938271523,5.362027230415456e-05,7.97521666876016,0.0015013148278769733,0.000167839654081695,0.00718096095536487,0.111797658022845
AMBR1_14,14.8333333333333,889.999999999998,0.191991922171507,0.0768730555547255,0.0,0.0,2.7975219898111708e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.844466232402365,5.367133834995218e-05,7.97510788769691,0.0015151865250242918,0.00017038231423183167,0.00729270614133158,0.112453779706651
AMBR1_14,14.9166666666667,895.000000000002,0.185152463256054,0.0776768927031678,0.001399999999998854,0.0,2.492892361701939e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,0.030191313600435178,3.8272113589352887,5.266526350632473e-05,7.97603290809307,0.0015764039777724367,0.00017730007614641166,0.0071480650437512104,0.113038435234674
AMBR1_14,15.0,900.0,0.184710694602474,0.0788155658219725,0.0,0.0,2.1200301996748625e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.8059730147620265,5.205486545102717e-05,7.97614408186864,0.0015342485688666899,0.00018157922059491169,0.00746593920430275,0.118492706337273
AMBR1_14,15.0833333333333,904.999999999998,0.18471504176162098,0.07915509477600381,0.0,0.0,1.914921433104839e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.771187501747702,5.149198291819698e-05,7.97632439532048,0.0015396523677378916,0.00018276526986705502,0.00751300075199016,0.118709802553976
