fold_index,seed,split,observable,n,nrmse,mae,r2
13,42,test,glucose_g_l,19,0.042862462984936,0.6218543427520358,0.9858230586990993
13,42,test,pH,451,0.0603788760562637,0.1096595525741577,0.0
13,42,train,DO_percent,9453,0.0733695884005742,7.456493854522705,0.8023388981819153
13,42,train,biomass_g_l,9231,0.0553542937369951,0.4346777200698852,0.9201921224594116
13,42,train,glucose_g_l,356,0.0353536426974807,0.4031138489873168,0.9646140455342792
13,42,train,pH,9453,0.0602186320755291,0.0896731242537498,0.9462428689002992
13,42,val,DO_percent,448,0.186354263651911,24.79568290710449,0.4423871636390686
13,42,val,biomass_g_l,421,0.0718572865015667,0.6917334794998169,0.8640177249908447
13,42,val,glucose_g_l,19,0.0387963481276732,0.5631620856291729,0.9522961665671498
13,42,val,pH,448,0.078508906469584,0.1617942899465561,0.0
14,42,test,DO_percent,451,0.0839636735837988,12.708581924438477,0.8253323435783386
14,42,test,biomass_g_l,450,0.1290083649729397,1.111266851425171,0.8908043503761292
14,42,test,glucose_g_l,17,0.0312879325019617,0.4961781157971924,0.9924389612903768
14,42,test,pH,451,0.0533832110810848,0.0961457341909408,0.0
14,42,train,DO_percent,9402,0.0704259406052551,6.809508800506592,0.8422768712043762
14,42,train,biomass_g_l,9125,0.0553518500640976,0.3980600833892822,0.9290136098861694
14,42,train,glucose_g_l,360,0.0346284512985887,0.4290557898267139,0.9660378374080136
14,42,train,pH,9402,0.0557312208677273,0.0915081202983856,0.9530419111251832
14,42,val,DO_percent,499,0.0804549311180007,7.674817562103271,0.7096360921859741
14,42,val,biomass_g_l,499,0.0904877171386799,0.7546370625495911,0.8066818118095398
14,42,val,glucose_g_l,17,0.012131038191254,0.1532304913022182,0.9937822374840184
14,42,val,pH,499,0.0109632931505742,0.0182276219129562,0.8224318623542786
15,42,test,DO_percent,450,0.0959846361384473,11.499489784240724,0.6004756689071655
15,42,test,biomass_g_l,409,0.0444749540189267,0.268359899520874,0.8490903973579407
15,42,test,glucose_g_l,18,0.0325907566493085,0.3515252461234757,0.9147780050197634
15,42,test,pH,450,0.0410137223064762,0.0833809599280357,0.0
15,42,train,DO_percent,9401,0.0763368866888071,7.823930740356445,0.8253216743469238
15,42,train,biomass_g_l,9164,0.0552349452489725,0.4600832164287567,0.9328680634498596
15,42,train,glucose_g_l,359,0.0365159467328947,0.4630045071135149,0.9681625522567172
15,42,train,pH,9401,0.0570457552740624,0.0844835117459297,0.9532189965248108
15,42,val,DO_percent,501,0.0215958674342758,1.847102403640747,0.0
15,42,val,biomass_g_l,501,0.0565777616266149,0.5224820971488953,0.841887354850769
15,42,val,glucose_g_l,17,0.0206168140655659,0.2259089331077955,0.982574889718876
15,42,val,pH,501,0.0361272272730775,0.0622718930244445,0.0
16,42,test,DO_percent,450,0.1585429653893877,17.085695266723633,0.0
16,42,test,biomass_g_l,426,0.0688539686296008,0.6068273782730103,0.7748263478279114
16,42,test,glucose_g_l,18,0.0649891321502639,0.8055195198507165,0.636046491726941
16,42,test,pH,450,0.0430883282754151,0.0842414572834968,0.0
16,42,train,DO_percent,9450,0.0641225453325117,6.407421112060547,0.8762342929840088
16,42,train,biomass_g_l,9219,0.0484547850097687,0.4016295075416565,0.94838947057724
16,42,train,glucose_g_l,357,0.0278044030037431,0.3335807290841251,0.981451233153871
16,42,train,pH,9450,0.0603480154769023,0.0908550322055816,0.9480986595153807
16,42,val,DO_percent,452,0.0257096357198723,2.610341787338257,0.0
16,42,val,biomass_g_l,429,0.0913130751765426,0.915094256401062,0.5647390484809875
16,42,val,glucose_g_l,19,0.0763228033596991,0.7653621609711819,0.7964633714251086
16,42,val,pH,452,0.2150207644454687,0.4563907384872436,0.0
17,42,test,DO_percent,449,0.1454260284172618,13.830594062805176,0.4254221320152282
17,42,test,biomass_g_l,444,0.0637497909108052,0.5901796221733093,0.8286011815071106
17,42,test,glucose_g_l,18,0.0320973022336312,0.3740905022941792,0.9637688585629256
17,42,test,pH,449,0.018433516887504,0.0311519559472799,0.3528016805648803
17,42,train,DO_percent,9453,0.1067389649535559,8.577055931091309,0.6437171101570129
17,42,train,biomass_g_l,9204,0.0543359618964948,0.4569889008998871,0.9348214268684388
17,42,train,glucose_g_l,358,0.0299761088618871,0.3683280062258736,0.978442838106064
17,42,train,pH,9453,0.0504183372540994,0.07887864112854,0.9632810354232788
17,42,val,DO_percent,450,0.1804659814576633,20.31503295898437,0.0
